"Name","Status","Latitude","Longitude","Maximum.Wind","diff","rapid_int","i","n","persistence","product","Initial.Max","speed","speed_z","speed_m","Jday","Maximum.Wind_p","Latitude_p","Longitude_p"
105,2,30.6,-78.7,30,5,"0",5,21,0,0,25,0.849680079743796,1.16163878870533,0.999929226087176,84,25,29.7,-78.8
105,3,31.5,-78.7,35,10,"0",6,21,5,150,30,0.830746923640783,1.18623457530064,0.999929226087176,83,30,30.6,-78.7
105,3,32.3,-78.6,35,10,"0",7,21,10,350,35,0.747820198402798,1.21470377484886,0.999929226087176,83,35,31.5,-78.7
105,3,33.2,-78.1,40,15,"0",8,21,5,175,35,0.706356220224626,1.2366664936156,0.999929226087176,83,35,32.3,-78.6
105,3,33.9,-77.3,40,10,"0",9,21,5,200,40,0.736154614334829,1.2574086211999,0.999929226087176,83,40,33.2,-78.1
105,3,35.5,-75.4,35,0,"0",10,21,5,200,40,0.80315874615831,1.27480482890114,0.999929226087176,82,40,33.9,-77.3
105,2,37.3,-66.5,30,-5,"0",14,21,0,0,40,1.3158700565548,1.34809418692623,0.999929226087176,81,30,37.3,-70.3
11,2,12.9,-33.3,30,5,"0",5,26,0,0,25,1.70469374489396,0.560483967624716,0.999929226087176,45,25,12.6,-31.3
11,2,13.1,-35.1,30,5,"0",6,26,5,150,30,1.68595694612367,0.58300269354348,0.999929226087176,45,30,12.9,-33.3
11,3,13.3,-36.8,35,10,"0",7,26,5,150,30,1.55135549883877,0.600890062417928,0.999929226087176,44,30,13.1,-35.1
11,3,13.5,-38.5,35,10,"0",8,26,5,175,35,1.42432811787192,0.614228894219921,0.999929226087176,44,35,13.3,-36.8
11,3,13.7,-40,35,5,"0",9,26,5,175,35,1.38307752846747,0.623084174532101,0.999929226087176,44,35,13.5,-38.5
11,3,13.9,-41.3,35,5,"0",10,26,0,0,35,1.30186335559832,0.631909056110404,0.999929226087176,44,35,13.7,-40
11,3,14.2,-42.6,35,0,"0",11,26,0,0,35,1.14101956129884,0.640703050341425,0.999929226087176,43,35,13.9,-41.3
11,3,14.4,-43.9,40,5,"0",12,26,0,0,35,1.06748038047851,0.649465878017506,0.999929226087176,43,35,14.2,-42.6
11,3,14.7,-45,40,5,"0",13,26,5,200,40,1.0665833515445,0.658197050525243,0.999929226087176,43,40,14.4,-43.9
